,sample_id,construction_site,image_blob_id,date_time,annotation_people_blob_id,annotation_poly_blob_id,annotation_blob_id,poly_objects,dis_people,dis_rebar,dis_formwork,dis_pump,timestep,Site1formwork,Site1rebars,Site1pump,Site1people,Site2formwork,Site2rebars,Site2pump,Site2people,if_Site1_concret,if_Site2_concret
0,2020-08-06-07-00-08,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-00-08.jpg,2020-08-06 07:00:08,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-00-08.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-00-08.jpg.json,,"['Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Concrete_pump_hose']","[0, 0, 0]","[0, 0, 1]","[0, 1, 3]","[0, 0, 1]",2020-08-06 07:00:08,1,0,0,0,3,1,1,0,0,0
1,2020-08-06-07-00-56,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-00-56.jpg,2020-08-06 07:00:56,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-00-56.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-00-56.jpg.json,,"['Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Concrete_pump_hose']","[0, 0, 0]","[0, 0, 1]","[0, 1, 3]","[0, 0, 1]",2020-08-06 07:00:56,1,0,0,0,3,1,1,0,0,0
2,2020-08-06-07-01-43,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-01-43.jpg,2020-08-06 07:01:43,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-01-43.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-01-43.jpg.json,,"['Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Concrete_pump_hose']","[0, 0, 0]","[0, 0, 1]","[0, 1, 3]","[0, 0, 1]",2020-08-06 07:01:43,1,0,0,0,3,1,1,0,0,0
3,2020-08-06-07-02-30,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-02-30.jpg,2020-08-06 07:02:30,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-02-30.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-02-30.jpg.json,,"['Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Concrete_pump_hose']","[0, 0, 0]","[0, 0, 1]","[1, 1, 3]","[0, 0, 1]",2020-08-06 07:02:30,2,0,0,0,3,1,1,0,0,0
4,2020-08-06-07-03-16,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-03-16.jpg,2020-08-06 07:03:16,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-03-16.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-03-16.jpg.json,,"['Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[0, 1, 4]","[0, 0, 0]",2020-08-06 07:03:16,1,0,0,0,4,1,0,0,0,0
5,2020-08-06-07-04-02,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-04-02.jpg,2020-08-06 07:04:02,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-04-02.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-04-02.jpg.json,,"['Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[0, 1, 4]","[0, 0, 0]",2020-08-06 07:04:02,1,0,0,0,4,1,0,0,0,0
6,2020-08-06-07-04-49,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-04-49.jpg,2020-08-06 07:04:49,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-04-49.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-04-49.jpg.json,,"['Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[0, 1, 4]","[0, 0, 0]",2020-08-06 07:04:49,1,0,0,0,4,1,0,0,0,0
7,2020-08-06-07-05-35,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-05-35.jpg,2020-08-06 07:05:35,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-05-35.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-05-35.jpg.json,,"['Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[0, 1, 4]","[0, 0, 0]",2020-08-06 07:05:35,1,0,0,0,4,1,0,0,0,0
8,2020-08-06-07-06-22,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-06-22.jpg,2020-08-06 07:06:22,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-06-22.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-06-22.jpg.json,,"['Vertical_formwork', 'Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[0, 1, 4]","[0, 0, 0]",2020-08-06 07:06:22,1,0,0,0,4,1,0,0,0,0
9,2020-08-06-07-07-09,Analytic2,Analytics_Train_Set/Analytics_Train_Set_Img/2020-08-06-07-07-09.jpg,2020-08-06 07:07:09,Analytics_Train_Set/Analytics_Train_Set_Json/people/2020-08-06-07-07-09.jpg.json,Analytics_Train_Set/Analytics_Train_Set_Json/poly/2020-08-06-07-07-09.jpg.json,,"['Rebars', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork', 'Vertical_formwork']","[0, 0, 0]","[0, 0, 1]","[0, 1, 4]","[0, 0, 0]",2020-08-06 07:07:09,1,0,0,0,4,1,0,0,0,0
